Date,Open,High,Low,Close,Adj Close,Volume
2014-01-13,8.500000,8.940000,8.500000,8.800000,8.800000,5404352
2014-01-14,8.900000,8.910000,8.650000,8.770000,8.770000,2325574
2014-01-15,8.810000,8.980000,8.670000,8.980000,8.980000,2531051
2014-01-16,9.130000,9.440000,8.910000,8.940000,8.940000,7968768
2014-01-17,8.910000,9.120000,8.650000,9.070000,9.070000,3644323
2014-01-20,9.160000,9.300000,8.930000,9.010000,9.010000,1556462
2014-01-21,9.100000,9.140000,8.770000,8.950000,8.950000,3438705
2014-01-22,9.180000,9.680000,9.100000,9.670000,9.670000,8306021
2014-01-23,9.710000,9.900000,9.420000,9.540000,9.540000,4908830
2014-01-24,9.430000,9.450000,8.960000,9.230000,9.230000,3572479
2014-01-27,9.100000,9.240000,8.330000,8.700000,8.700000,5384708
2014-01-28,8.400000,8.400000,7.440000,7.630000,7.630000,12384454
2014-01-29,7.270000,7.480000,6.730000,7.170000,7.170000,11553233
2014-01-30,7.300000,7.750000,7.220000,7.630000,7.630000,5608878
2014-01-31,7.450000,7.850000,7.280000,7.810000,7.810000,4308414
2014-02-03,7.880000,8.280000,7.500000,7.680000,7.680000,4806992
2014-02-04,7.680000,7.850000,7.470000,7.560000,7.560000,2618080
2014-02-05,7.540000,7.550000,7.330000,7.490000,7.490000,2169372
2014-02-06,7.740000,7.840000,7.640000,7.770000,7.770000,2072100
2014-02-07,8.050000,8.050000,7.620000,7.780000,7.780000,2500879
2014-02-10,7.750000,7.800000,7.640000,7.770000,7.770000,818446
2014-02-11,7.860000,8.090000,7.790000,7.820000,7.820000,3211719
2014-02-12,6.500000,7.100000,6.130000,6.220000,6.220000,13661668
2014-02-13,6.250000,6.350000,5.900000,5.940000,5.940000,7433469
2014-02-14,5.840000,5.930000,5.510000,5.740000,5.740000,8229764
2014-02-18,5.750000,5.750000,5.560000,5.600000,5.600000,2970642
2014-02-19,5.600000,5.960000,5.560000,5.860000,5.860000,4761132
2014-02-20,5.960000,6.120000,5.880000,5.970000,5.970000,4187424
2014-02-21,6.020000,6.070000,5.970000,5.990000,5.990000,1879455
2014-02-24,6.050000,6.080000,5.970000,6.000000,6.000000,1695737
2014-02-25,5.970000,5.990000,5.870000,5.940000,5.940000,1093454
2014-02-26,5.910000,6.080000,5.850000,6.040000,6.040000,1456073
2014-02-27,6.050000,6.070000,6.000000,6.020000,6.020000,922684
2014-02-28,5.980000,6.030000,5.930000,5.980000,5.980000,1569231
2014-03-03,5.760000,5.910000,5.710000,5.810000,5.810000,2010761
2014-03-04,5.800000,6.000000,5.790000,5.910000,5.910000,2281878
2014-03-05,5.950000,6.050000,5.875000,6.000000,6.000000,1986209
2014-03-06,6.060000,6.490000,6.050000,6.480000,6.480000,4196781
2014-03-07,6.720000,6.730000,6.380000,6.390000,6.390000,3413798
2014-03-10,6.390000,6.660000,6.380000,6.450000,6.450000,2303934
2014-03-11,6.550000,6.550000,6.050000,6.050000,6.050000,2853349
2014-03-12,6.060000,6.200000,5.900000,6.100000,6.100000,1493994
2014-03-13,5.960000,6.025000,5.750000,5.750000,5.750000,3770384
2014-03-14,5.630000,5.730000,5.530000,5.570000,5.570000,2623366
2014-03-17,5.600000,5.740000,5.570000,5.640000,5.640000,2537700
2014-03-18,5.640000,5.950000,5.630000,5.940000,5.940000,6316936
2014-03-19,6.090000,6.170000,5.970000,6.000000,6.000000,3067913
2014-03-20,5.910000,5.960000,5.770000,5.800000,5.800000,1769499
2014-03-21,5.780000,5.900000,5.700000,5.700000,5.700000,1788055
2014-03-24,5.760000,5.820000,5.560000,5.700000,5.700000,1217982
2014-03-25,5.770000,5.800000,5.610000,5.620000,5.620000,1151247
2014-03-26,5.610000,5.670000,5.370000,5.530000,5.530000,2066838
2014-03-27,5.480000,5.480000,5.215000,5.350000,5.350000,3554844
2014-03-28,5.250000,5.340000,5.135000,5.160000,5.160000,2590058
2014-03-31,5.250000,5.560000,5.250000,5.530000,5.530000,3647807
2014-04-01,5.650000,5.830000,5.650000,5.790000,5.790000,2612340
2014-04-02,5.850000,5.980000,5.800000,5.900000,5.900000,2506510
2014-04-03,5.930000,5.970000,5.730000,5.760000,5.760000,2291696
2014-04-04,6.750000,7.350000,6.750000,7.300000,7.300000,15022580
2014-04-07,7.200000,7.350000,7.050000,7.130000,7.130000,5943963
2014-04-08,7.150000,7.630000,7.140000,7.590000,7.590000,5327256
2014-04-09,7.750000,7.750000,7.460000,7.470000,7.470000,3723025
2014-04-10,7.440000,7.570000,7.290000,7.300000,7.300000,2874717
2014-04-11,7.240000,7.290000,7.080000,7.150000,7.150000,2108264
2014-04-14,7.320000,7.450000,7.310000,7.390000,7.390000,2504752
2014-04-15,7.400000,7.540000,7.110000,7.270000,7.270000,2640585
2014-04-16,7.460000,7.490000,7.340000,7.400000,7.400000,2107497
2014-04-17,7.420000,7.440000,7.300000,7.300000,7.300000,1057505
2014-04-21,7.210000,7.500000,7.200000,7.430000,7.430000,1458167
2014-04-22,7.430000,7.470000,7.370000,7.390000,7.390000,1475611
2014-04-23,7.450000,7.830000,7.450000,7.700000,7.700000,2668564
2014-04-24,7.810000,7.810000,7.540000,7.600000,7.600000,1501774
2014-04-25,7.530000,7.580000,7.380000,7.560000,7.560000,1215085
2014-04-28,7.500000,7.570000,7.310000,7.400000,7.400000,1405676
2014-04-29,7.390000,7.770000,7.380000,7.760000,7.760000,1917601
2014-04-30,7.610000,7.940000,7.540000,7.580000,7.580000,2330935
2014-05-01,7.600000,7.780000,7.580000,7.740000,7.740000,805287
2014-05-02,7.730000,7.890000,7.730000,7.850000,7.850000,1241798
